"pagina","texto","error"
1,"1 as Luna TT - - i ' : di Ma et . -
pe day MD era da dats Gil le ia dE a de Ei
ad ee VE EU SIÓ EG ia or dat OT ET NC A PRAT RE EL
ditas HE, a US es) omanpe, Bo qiRa, MI ES Era ta apre a Eu
i LO Taadi ds, da P NE 0 dP Bes Ti i ds Eu Lis Ll h i t
SS EPS I SI LD Em inEllbs P a LI Lia eterns d'el a Va ei
madre P La ed AL Da ai a DO EC SE ) DE
pa P Pola dP Tn CS Tu Qi EE RAE Se Lo dema ts vs ai Ci El
Pd ola £ As tens Le À 21 Ú iva E de iris
1 Es EL hl : da, ela, Dt Tn xv ee lar ció asi, ee 4) 1 beca 2 d A 4
Ei : dd US DbS, . : ra dg a Pen
a is . 8 . 43 Ús h di , A ac a des i EI pr
xi Mg, ran ac a,
, 4 - Qu do real
St - Ca Se
: . - aj 41 ENS ús
res dt eeni sa pla,
4 7 a crei ell
- . ni , 3. d Frel Bat
L ef cie S
. - i esa Es qni v
d ali Ri É
L 4 . Uies I Cadet
- OC d'EL, Tall Mi i
sn 4 He La —
4 z a
gi qe h 3 sé mn
i ai
Ú ui i
é - I EL -
Us 3 db — va
de - rara
pu i . P2 ra EM)
ds 1 cc. C'DME
: La en 4r EPA
h L A Ra a I
4: A
, L Et 3. de
i My ar VU
4, h 5 4 : RS hi
b Tv 8) / al EU
4 ap - - edi:
- rr
— RONDAYES MALLORQUNES
4 Li n au
-4 h . d'o FE)
L ai hi.
air Ai Ta
4 Ad — Dis
qe Da EN
j 4 As a
: dE
ar : h LL
Ps,
A 1 dx a Ll
A
I 'afiea
a uel Pe
: 1 x sa Mai
0 a EE
1 : - La Le
s ha - ig
N di hici En
P: as de
i Stel
, 6) h a P,
e IA
i És 1 dd
Í i Eu
- 4. s'a
A I I ed
as i I AE al
a qe a,
(e2 ri Ec
: sa a
x- hd A em,
- - Ú i L a h di
1 1 4: Ne TE
3 aa
NS ries / LS PL
3 . A — a E
dies sn a És SE
Ri. : en, - M Apa Pi Et,
sn. h 5 R o . L: Pégeis P
LL ed hg de, cn pa Te A 3n
: 1 4 , ras SL A : a. A Dn :
(ED, bc du dmbles MARANA GERS EA MI AL aires Bes TN
",NA
2,"RO Y7905L l
APLECH
DE l
Rondayes Mallorquines ——
DE ,
Mn. ANTONI M."" ALCOVER i
RE eriga :
TOM II Lc i
TERCERA EDICIO dE y
AMB LLECENCIA DEL ORDINARI
AmÀriia ML
BE
CIUTAT DE MALLORCA
ESTAMPA DE MN. ALCOVER
1y40
l e RA BSÓ
",NA
3,"en, de 4/4 I hi i v gia) Te ""al

Dl Pilar Laia Cer eli MEU var el ret dE MT pd die 3 A De absis
os aa ae Ce as TES ES Ó ) dema DE RED i
LE i PA mil Ot ea ales Dia a: BEL TD Cd di de a leoeranl
Ag: EN Da aa ET Da UR ON MO es):
dr rèitel dt i Dl Et Pe atra e,E menes LE): dra gi É
paro yi Ds a : teu ç er — sa led Es 3 x a J en ds I I Ui, en 4 4
Ninss L : it Pel d - Dir: ya Bel cs da i
ss a - ri : L ta ut at
eres ""Mb, d . - et
es a la N . . L
hits hi Í 5 78
si Ei 4 . de nrrbl
Ed — M A di
i i - ale
der"" ——— j
40 Li Aquesta obra es pro- i
Es Pena piedat de l'autor qui's re- a sl
ni : serva tots els drets que la P Esh.
ss lley li concedex..
Fig , 4 t - Ú
PS dalgi:
te A i
ah qe j . 4

ac : ria ei
a Zen a)
É : M
ne er
da f i — Ec
a Tia Pe

Ep, - Da ia i
re i L s .
""a (
8 dP ed
Mesa F Ó
É . , si

Pal i 4 : 4 Re 14
na 6 3 may . Ll qu y
. Ú: Li . —y é. j cal
ee Par li, al A t:
a a, Ó re. 7 . EL
",NA
4,"I
Ll
i
L'driela
pp LA
EN PRRR TORT Ò Ll l
l'e
— ——al ee ha — / / I
Xò era un rep que no més tenia una fia,
s'atlota més llesta p sabuda qu'escaufava'l
sol. Sabia des Ílim de ses olles, tenia llen-
go per setze, p per coses envitricollades que li
diguessen, map la porien confondre ni capturar.
Son pare va fer unes dietes: qu'es fadrí que li
diria una endivinapa que no sabés desllatigar, se
casaria amb ella. Ara si la desllatigava, a n'aquell
que la hi hauria dita, l'havien de fer xerop de ses
dues orepes.
Ja'u crech que comensaren a presentars-hi fa-
(1) La'm contaren ma mare, el sén Pere Gotze de Manacor,
n'Antoniet Socíes y Morell de Lluchmajor, D. Juan Feliu, misser, ,
de la Ciutat de Mallorca, y el sén Toni Nebot, Leu, de Son Ser-
vera.
T, M.—l.
",NA
5,"6 RONDAYES MALLORQUINES
drins p més fadrins, p hi anaven es més desperts p
que pretenien més de cames primes, p bé n'hi de-
pen d' endevinapes enrevisclades p fondes, pero
ella, encara no les hi acabaven de dir, com ja los
ho entimava p'es morros, desllatigades.

Y allà hi havía dos criats amb unes tisores de
tondre per hom, amb una mú, p amb s'altra ja me
tenien es pobre fadri p'es cabeps.

—No esperonetjes, (li depen) Si no vols que't
devallem un tros de galta.

Pegaven estreta, ses tisores fepen .rííic1, p ses I
dues orepes botien en terra, ratjant sanch, p es
pobre xerop e-hu donava a ses cames abans de
més raons, Y corria fins que tenia alè.

Y per molts que n'hi anassen, p per desxondits
que fossen, a tots sa fia del rep los dexava en es
siti, y ses tisores des criats n'havien de fer de fep-
na per llarch. Per ont se vupa un s'en anés, no
vepa més que fadrins xerops.

l —qAXÍ va axòP arribú a dir un bergantellot
d'un llogaret, Pere de nom, fip d'una pobra viuda,
més trapdor qu'un gat negre, més embupós qu'una
colla d'escrivans, tòrt d'un up, pero que amb so
que tenía condret hep vepa més qu'els altres de
quatre en quatre, per dematí que s'axicassen, Y lo
bo era, que Si no'l sospesaven bé, parexia una
galin'orba, un beninoni, un benept: però no més ho
era per no pagar s'hostalatje.

—d4AXÍ va axò2 diu ell. çA tots lostan xerops2
Ara veurem Si m'hi faràn a mi.
",NA
6,"I
EN PERE TÒRT 7
Un dia, agafa sa mare, qu'era una mica puran-
da, p li diu:
—Ma mare, he pensat d'anarmen a dir una en-
devinapa a sa fia del rep, a veure si la'm fas
meta.
—jO fip meul diu ella, rompent en plors.
i Que t'has begut es senp2 jDexa anar axò, fip
meul 4 Veus que tants com n'hi son anats, tots son
tornats xerops, p ara hi aniries tu, a fer caramull2
é Tan mal a pler les tens a ses orepes2 '
—Ma mare, (diu ell) no us cal plorar ni ferme
es cuch de s'orepa malalt: allà m'en vatx, p forist
Si voleu res de ca'l rep, digau-ho, que demà dema-
tí, abans de s'auba, ensellaré en Baulos ç de d'allàl
En Baulos era un ase retut que tenien.
Sa mare, com el sentí, va fer un escàndol, s'
esquixé's rebosillo, se rapú sa cara, s'estirava 'S
Cabeps, va alsé's carrer: no hi poria allagar es coll
a que's séu fip se'n hagués d'anar per esser xerop I
tota la vida.
—jA ne quil depa a ses veynades, qJo m'esti-
maria més veure'l allargat dins es baul, que sense
orepaml Ell que ja es tòrt, p llevò xerop, jo qui-
na faristea que faràl jMés m'estimaria veure'l amb i
sa mortapal
Una vepnada, que s'hauria rigut d'un enterro,
li arribé a dir:
—Lo millor que pots fer, fieta meua dolsa des
meu cor, es una coca amb matzines: la hi poses l
",NA
7,"8 RONDAYES MALLORQUINES
dins ses bapasses, ell li donarà clau, batré's peus,
y no t'haurús de veure a s'afronta de tenirlo xeroy
tota la vida.

—Trob qu'has pensat bé, (diu sa beula).

Va fer sa coca amb matzines, p com en Pere
lo'ndemó, abans de s'auba, li diu: —Hala, ma mare,
Si voleu res des marxando: ja malavetjareu a estar
boneta, p amb Deu siau, —ella li feu de resposta:

— ja veuràs una coca dins ses bapasses, que 't
hi he posada per passar es camí: té bonda, 9 Deu
te guart de perill.

—Amèn, diu ell.

Pega bot demunt en Baulos, P ja's partit, daxo
daxo, cap a cà'l Rey.

Camina caminarús, devés les onze s'animal ja
no'n volia pus, P, Sense dirli óz, s'atura devall un
upastre que fepa un'ombra ben espessa. En Pere'l
desensella, el ferma. Perque'u trobava massa prest
per dinar, prova de dormir una estona, p quedà
més adormit qu'una rabassa.

En Baulos no'n tenia tanta de son: sa fam l'al-
sava en pes, Y no vepa papa ni herba en lloch
ahont abordarse. Sentí s'oloreta de sa coca, afica
es cap dins ses bapasses, la troba, p ja'u crech
que no li tocà voreres. :

Tan maleptes eren. ses matzines d'aquella coca,
que, tot d'una que les tengué dins el còs, el téren
tornar blau, capgué en terra, P Cosses P Cosses, P
aviat hagué axamplats es potons,
",NA
8,"EN PERE TÒRT 9
Amb aquell estabetx se despert en Pere, el me
veu. El se mira una bona estona tot astorat: Se'n
va a ses bapasses, P Sa coca no hi va esser.
—jAnh polissó de Baulosi (diu ell): ja éts tu que
la t'has menjada.
Se'n va a obrirli sa boca, p encara n'hi afinó
bocinets encletxats entre quixal p quixal.
—No hi ha remep, (diu ell): la t'has menjada .
a ella, però ella t'ha mort a tu. jja hi bouetjarés
un'altra vegadal
Com prou va haver pensat de quin cap faria
estelles, dexa 'n Baulos estés p seguí cap envant.
Afina dos corps que se 'n venien vola qui vola,
passen p'es seu endret, los segueix amb sa vista,
p veu que se posen demunt en Baulos, p espipe-
llada vé, espipellada va, se 'n atepiren fins que no
pogueren dir pruna. 3
—Ell pareix que 'l troben bo,-depa en Pere,
que s'era assegut P los vetlava. i
S' alsaren, p de d' allà, p ell derrera derrera,
sense perdre-los de vista, P notú qu'anaven sor-
rers ferm. Aquells animals tenien cosa.
Vaja si ""n tenienl sa -carn enmatzinada d' en
Baulos dins es gavatx, que al punt los feu tornar
tota sa sanch més negra que ses seues plomes. Ç, l
acabats de tot, capgueren sechs, docentes passes
devant en Pere. Ell se'n hi va corrents, però ja hi
trobà dos barbatxos, que justament passaven,
—Mirau, germú, (li digueren) quines galines
",NA
9,"10 RONDAYES MALLORQUINES
negres mortesl No, pç mortes de l'hora: encara
son calentes.

Y les tenien, p los paupaven sa còrpora, p les
ensumaven.

—3iSi son dos corpsi depa en Pere.

—e Corps2 jdues galines son elll

—iVos dich que son corpsl jSi jo los he vists
caurel

Bé va fer en Pere, però aquells no'l volgueren

. Creure.

Fort p no't mogues qu' eren galines, les plo-
maren, feren foch, p les varen torrar sense esmo-
carles, P Zas, Zas, les se calaren com a murtons
de floquet.

Més redons que porcellins, s' ajegueren, y al
punt comensaren a estar mal a pler: tornaren
blaus, ja no tenien posa en lloch, se bolcaven p' en
terra, fepen sabonera, p des cap d'una hora ja va-
ren haver donat a rebre.

—jBesties, més que bestiesl depa en Pere.
iMés se'n merexenl jM' haguessen cregutl Y no
es que jo no los ho digués qu' eren corps, que los
farien mal, però ells, caparruts, sèt n' han entra-
des, sèt n' han d'exir, los s'han volguts clavar
dins l'ànima, Y.... ja los hi ténenl

Com prou se va esser descapdellat contra es
dos barbatxos, digué:

—Però jase de mil Me planch dels altres, p
som jo que necessit plànper. Es s'hora baxa, p
",NA
10,"EN PERE TÒRT ti
encara no m' ha passat res p'es canpó, p he per-
dut tot quant tenia. No, p Si no fas es cap viu, un L
pur desapre me'n durà a veure Sent Pere, abans
d' arribar a cà 'I Rep.
L'homo partí sense sebre cap ahont, cerca
qui cerca qualque cosa que menjar. Sa fam li tepa
veure bellumes, tenia tombs de cap, no Sabía ahont
posava es peus.
Y heu de creure P pensar que sopega a una
pedra redoladissa, p ja 'Í tenguérem de copes.
—3Re cent mil dimonist. diu ell... jMalapendi Í
sa pedral
S' axeca, l'agafa, p tot rabiós la tira amb tota he
sa forsa a una penpa que hi havia, trenta passes
envant, P pegú dins una espareguera que sortia
d'una encletxa, Justament hep tengué's jas una lle-
bra, Ç l aplegú tant bé, que 'n feu una coca.
En Pere se 'n anú ú mirar Si sa pedra polissona
s'era feta llenques, p me troba sa llebra morta p i
esclatada.
Aquella llebra estava pera fer sèt llebretones.
—3jVaja quina pedrada més avengudal diu en
Pere. jAxÒ se diu tenir. bon dretl Sobre tot, ja
tench per dinar y sopar. Bons siguem noltros, que
Deu no falta.
Fa foch, p com tengué una bona caliuera, e-hi
tira sa llebra escorxada p ses sèt llebretones. Com
foren ben torrades, Zas, Zasl les s'enfloca amb
quatre roechs. 3
",NA
